Acetylene,"Acetylene (C2H2) is a hydrocarbon and the simplest alkyne (a compound containing a triple bond between two carbon atoms). It is a colorless and flammable gas with a distinctive, pungent smell. Acetylene is often used as a fuel gas for welding and cutting metals, as well as in the production of chemicals such as plastics and pharmaceuticals. It is also used in the manufacture of acetylene black, a high-quality conductive carbon used in the production of rubber and batteries. Acetylene is produced by the reaction of calcium carbide with water, and it can be stored and transported in high-pressure cylinders. It is highly reactive and must be handled with caution.",l,1550                                                                                                               		
Acid,"An acid is a chemical compound that is characterized by the ability to donate protons (H+) or accept electrons from another compound (called a base). Acids typically have a sour taste and can react with certain metals to produce hydrogen gas. Acids are classified as either strong or weak, depending on their ability to ionize (dissociate) in water. Strong acids ionize completely in water, while weak acids ionize only partially. Some common examples of strong acids include hydrochloric acid (HCl), sulfuric acid (H2SO4), and nitric acid (HNO3). Weak acids include acetic acid (found in vinegar), citric acid (found in citrus fruits), and carbonic acid (found in soda). Acids are widely used in various industrial and laboratory applications, including the production of fertilizers, plastics, and pharmaceuticals.",l,100                                                                                                               		
Air Conditioners,"An air conditioner is a device that is used to cool, dehumidify, and circulate the air in a building or vehicle. It works by drawing in hot and humid air from the surrounding environment, removing the heat and moisture through a refrigeration cycle, and blowing cooled and dehumidified air back into the space. Air conditioners are typically used to provide comfort in homes, offices, and other indoor spaces, especially during hot and humid weather. There are several types of air conditioners, including window units, portable units, central systems, and split systems. Air conditioners operate using electricity and refrigerant gases, and they are typically rated by their cooling capacity in British thermal units (BTUs) or in tons. Air conditioners can be a significant energy consumer, and it is important to use them efficiently to save energy and reduce greenhouse gas emissions.",buc,2000                                                                                                               		
Air Mails,"Air mail is a system of transporting letters, packages, and other mail items by airplane. Air mail service was first introduced in the early 20th century, and it has since become an important part of the global postal network. Air mail allows for faster delivery of mail items over long distances, compared to surface mail (transportation by land or sea). Air mail is typically more expensive than surface mail, but it can offer significant time savings, especially for time-sensitive mail items. Air mail is often used for international mail, as well as for domestic mail within large countries with a well-developed air transportation network. Air mail service is typically provided by national postal agencies or private carriers, and it may include options for tracking and insurance.",buc,240                                                                                                               		
Aircraft Tyres,"Aircraft tires are specialized tires designed for use on aircraft, such as airplanes and helicopters. They are designed to withstand the unique demands of air travel, including high speeds, heavy loads, and extreme weather conditions. Aircraft tires are typically made of strong, durable materials such as synthetic rubber and steel, and they are reinforced with multiple layers of fabric and steel cords to provide support and stability. They are also designed to be able to withstand the heat generated during takeoff and landing, as well as the impact of landing on concrete or asphalt runways. In addition to the main landing gear tires, aircraft may also have tires on the nose gear, tail gear, and wing gear, depending on the type of aircraft. Proper maintenance and inspection of aircraft tires are essential to ensure the safety of the aircraft and its passengers.",buc,2500                                                                                                               		
Almond,"An almond is the edible seed of the almond tree (Prunus dulcis), which is native to the Middle East and South Asia. Almonds are oval-shaped and have a hard, woody outer shell, which encloses a thin, brown skin and a white, crunchy kernel. Almonds are a popular type of tree nut, and they are often consumed as a snack, either on their own or as part of mixed nuts. They are also used in a wide variety of dishes, such as pastries, cakes, and desserts, as well as in savory dishes such as curries and salads. Almonds are a good source of protein, fiber, and healthy fats, and they are also rich in various vitamins and minerals, such as vitamin E, magnesium, and potassium. Almonds are often consumed as a healthier alternative to other types of snacks, and they may have potential health benefits, including reduced risk of heart disease and improved blood sugar control.",t,17                                                                                                               		
Ammunition,"Ammunition is a type of explosive material used in firearms, such as rifles, pistols, and shotguns. It consists of a cartridge, which contains the bullet (projectile), the gunpowder (propellant), and a primer (igniter). When the trigger of a firearm is pulled, the primer is struck by a firing pin, which causes it to ignite the gunpowder. The burning gunpowder generates hot gas, which propels the bullet out of the barrel of the firearm at high speed. Ammunition is available in various calibers and types, depending on the intended use and the firearm it is intended for. Some common types of ammunition include centerfire (primer is located in the center of the base of the cartridge), rimfire (primer is located around the rim of the base of the cartridge), and shotgun shells (contain small projectiles called shot, which are dispersed when fired). Ammunition is used for various purposes, including hunting, self-defense, and target shooting.",t,90                                                                                                               		
Apples,"An apple is a round, sweet fruit with a red, yellow, or green skin and a white, crunchy interior. It is the fruit of the apple tree (Malus domestica), which is native to Central Asia and has been cultivated for thousands of years. Apples are a popular and widely cultivated fruit, and they are grown in many parts of the world, including North America, Europe, and Asia. They are a good source of fiber, vitamin C, and other nutrients, and they are often consumed as a snack or used in a variety of dishes, such as pies, tarts, and cider. There are many different varieties of apples, which vary in size, color, flavor, and texture. Some popular types of apples include Red Delicious, Granny Smith, Honeycrisp, and Pink Lady. Apples are often considered a symbol of good health and abundance, and they are frequently used in literature and art as a metaphor for various qualities, such as temptation and knowledge.",t,5.73                                                                                                               		
Arsenic,"Arsenic is a chemical element with the symbol As and atomic number 33. It is a naturally occurring metalloid, which means it has properties of both metals and nonmetals. Arsenic is highly toxic and poisonous, and it is commonly found in compounds such as arsenic sulfide (realgar) and arsenic trioxide (white arsenic). Arsenic is often used as a poison, and it has a long history of being used for criminal purposes, such as murder and assassination. In small amounts, arsenic can be found in the earth's crust and in some foods, such as seafood and grains. However, long-term exposure to arsenic can cause serious health problems, including cancer, cardiovascular disease, and neurological disorders. Arsenic is also used in a number of industrial applications, such as the production of pesticides, herbicides, and insecticides, as well as in the manufacturing of alloys and semiconductors.",t,151.95                                                                                                               		
Articulated Hauler Volvo A25G,"An articulated hauler, also known as a dump truck or off-road truck, is a heavy-duty vehicle used for transporting materials over rough terrain. The Volvo A25G is a model of articulated hauler produced by Volvo Construction Equipment, a division of the Swedish multinational corporation Volvo Group. The A25G is designed for use in a variety of applications, including mining, quarrying, and construction. It has a payload capacity of 25 tons and is powered by a diesel engine. The A25G is equipped with an articulated frame, which allows the front and rear sections of the vehicle to pivot independently of each other. This provides improved stability and maneuverability when the vehicle is loaded, and allows it to negotiate rough terrain and tight spaces. The A25G also has a number of features designed for operator comfort and safety, such as a spacious and ergonomic cab, air suspension seats, and advanced safety systems.",buc,20000.0                                                                                                               		
